Title,Year,Rated,Released,Runtime,Internet Movie Database,Rotten Tomatoes,Metacritic,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Domestic Open Gross,Num Theaters,Meta Score Cat,month,CPI @ release,CPI April 2023,New Domestic Open Gross,
Jackass Presents: Bad Grandpa,2013,R,25-Oct-13,92 min,6.5/10,61%,54/100,54,6.5,96416,tt3063516,102003019,32055177,3336,Medium,10,233.546,303.363,41637855.76,tt3063516
Elf,2003,PG,7-Nov-03,97 min,7.1/10,85%,64/100,64,7.1,286300,tt0319343,178053220,32100000,3337,Medium,11,184.5,303.363,52780229.27,tt0319343
Wedding Crashers,2005,R,15-Jul-05,119 min,7.0/10,75%,64/100,64,7,363199,tt0396269,209273411,32200000,2925,Medium,7,195.4,303.363,49991241.56,tt0396269
Immortals,2011,R,11-Nov-11,110 min,6.0/10,49%,46/100,46,6,171437,tt1253864,83504017,32206425,3112,Low,11,226.23,303.363,43187188.73,tt1253864
Mr. Peabody & Sherman,2014,PG,7-Mar-14,92 min,6.8/10,81%,59/100,59,6.8,73546,tt0864835,111506430,32207057,3934,Medium,3,236.293,303.363,41348789.14,tt0864835
Spy Kids 3: Game Over,2003,PG,25-Jul-03,84 min,4.3/10,45%,57/100,57,4.3,62678,tt0338459,111761982,32500000,3344,Medium,7,183.9,303.363,53612275.69,tt0338459
The Maze Runner,2014,PG-13,19-Sep-14,113 min,6.8/10,65%,57/100,57,6.8,481959,tt1790864,102427862,32512804,3604,Medium,9,238.031,303.363,41436542.97,tt1790864
Blade II,2002,R,22-Mar-02,117 min,6.7/10,57%,52/100,52,6.7,224990,tt0187738,82348319,32528016,2707,Medium,3,178.8,303.363,55189018.56,tt0187738
Due Date,2010,R,5-Nov-10,95 min,6.5/10,40%,51/100,51,6.5,349632,tt1231583,100539043,32689406,3355,Medium,11,218.803,303.363,45322761.9,tt1231583
Blade Runner 2049,2017,R,6-Oct-17,164 min,8.0/10,88%,81/100,81,8,599573,tt1856101,92071675,32753122,4058,High,10,246.663,303.363,40282025.88,tt1856101
The Book of Eli,2010,R,15-Jan-10,118 min,6.8/10,47%,53/100,53,6.8,325700,tt1037705,94835059,32789494,3111,Medium,1,216.687,303.363,45905473.19,tt1037705
Scream 2,1997,R,12-Dec-97,120 min,6.3/10,82%,63/100,63,6.3,195004,tt0120082,101363301,32926342,2663,Medium,12,161.3,303.363,61925814.56,tt0120082
Rush Hour,1998,PG-13,18-Sep-98,98 min,7.0/10,62%,60/100,60,7,277723,tt0120812,141186864,33001803,2638,Medium,9,163.6,303.363,61195146.48,tt0120812
Birds of Prey,2020,R,7-Feb-20,109 min,6.0/10,78%,60/100,60,6,248193,tt7713068,84172791,33010017,4236,Medium,2,258.678,303.363,38712290.13,tt7713068
Blades of Glory,2006,PG-13,30-Mar-07,93 min,6.3/10,70%,64/100,64,6.3,172740,tt0445934,118594548,33014202,3372,Medium,3,199.8,303.363,50126563.37,tt0445934
Tomorrowland,2015,PG,22-May-15,130 min,6.4/10,50%,60/100,60,6.4,185381,tt1964418,93436322,33028165,3972,Medium,5,237.805,303.363,42133358.08,tt1964418
Superbad,2007,R,17-Aug-07,113 min,7.6/10,88%,76/100,76,7.6,597305,tt0829482,121463226,33052411,2948,High,8,207.917,303.363,48225390.7,tt0829482
A Wrinkle in Time,2018,PG,9-Mar-18,109 min,4.2/10,42%,53/100,53,4.2,46227,tt1620680,100478608,33123609,3980,Medium,3,249.554,303.363,40265743.67,tt1620680
Hustlers,2019,R,13-Sep-19,110 min,6.3/10,87%,79/100,79,6.3,103470,tt5503686,104963598,33181361,3250,High,9,256.759,303.363,39204067.69,tt5503686
Lethal Weapon 3,1992,R,15-May-92,118 min,6.7/10,58%,40/100,40,6.7,172679,tt0104714,144731527,33243086,2510,Low,5,139.7,303.363,72188420.17,tt0104714
American Wedding,2003,R,1-Aug-03,96 min,6.3/10,53%,43/100,43,6.3,210901,tt0328828,104565114,33369440,3172,Low,8,184.6,303.363,54837775.88,tt0328828
Live Free or Die Hard,2007,PG-13,27-Jun-07,128 min,7.1/10,?,69/100,69,7.1,411702,tt0337978,134529403,33369559,3408,Medium,6,208.352,303.363,48586476.38,tt0337978
Get Out,2017,R,24-Feb-17,104 min,7.7/10,98%,85/100,85,7.7,637185,tt5052448,176196665,33377060,2781,High,2,243.603,303.363,41565026.1,tt5052448
The Haunting,1999,PG-13,23-Jul-99,113 min,5.0/10,17%,42/100,42,5,77946,tt0171363,91411151,33435140,2808,Low,7,166.7,303.363,60845737.11,tt0171363
Wrath of the Titans,2012,PG-13,30-Mar-12,99 min,5.7/10,26%,37/100,37,5.7,191889,tt1646987,83670083,33457188,3545,Low,3,229.392,303.363,44245975.99,tt1646987
101 Dalmatians,1996,G,27-Nov-96,103 min,5.7/10,41%,49/100,49,5.7,113868,tt0115433,136189294,33504025,2794,Low,11,158.6,303.363,64085003.38,tt0115433
Ted 2,2015,R,26-Jun-15,115 min,6.3/10,44%,48/100,48,6.3,218194,tt2637276,81476385,33507870,3442,Low,6,238.638,303.363,42596099.39,tt2637276
