Title,Year,Rated,Released,Runtime,Internet Movie Database,Rotten Tomatoes,Metacritic,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Domestic Open Gross,Num Theaters,Meta Score Cat,month,CPI @ release,CPI April 2023,New Domestic Open Gross,
Eternals,2021,PG-13,5-Nov-21,156 min,6.3/10,47%,52/100,52,6.3,355288,tt9032400,164870234,71297219,4090,Medium,11,277.948,303.363,77816491.74,tt9032400
The Lost World: Jurassic Park,1997,PG-13,23-May-97,129 min,6.5/10,54%,59/100,59,6.5,427276,tt0119567,229086679,72132785,3281,Medium,5,160.1,303.363,136679688,tt0119567
Despicable Me 3,2017,PG,30-Jun-17,89 min,6.2/10,59%,49/100,49,6.2,141724,tt3469046,264624300,72434025,4529,Low,6,244.955,303.363,89705468.87,tt3469046
Dawn of the Planet of the Apes,2014,PG-13,11-Jul-14,130 min,7.6/10,91%,79/100,79,7.6,450100,tt2103281,208545589,72611427,3967,High,7,238.25,303.363,92455909.04,tt2103281
The Lord of the Rings: The Return of the King,2003,PG-13,17-Dec-03,201 min,9.0/10,93%,94/100,94,9,1880828,tt0167260,379427292,72629713,3703,High,12,184.3,303.363,119550556.8,tt0167260
Austin Powers in Goldmember,2002,PG-13,26-Jul-02,94 min,6.2/10,53%,62/100,62,6.2,214591,tt0295178,213307889,73071188,3613,Medium,7,180.1,303.363,123082147.7,tt0295178
The Hobbit: The Desolation of Smaug,2013,PG-13,13-Dec-13,161 min,7.8/10,74%,66/100,66,7.8,676554,tt1170358,258387334,73645197,3903,Medium,12,233.049,303.363,95864937.84,tt1170358
The Simpsons Movie,2007,PG-13,27-Jul-07,87 min,7.3/10,?,80/100,80,7.3,337500,tt0462538,183135014,74036787,3922,High,7,208.299,303.363,107825874.4,tt0462538
Fantastic Beasts and Where to Find Them,2016,PG-13,18-Nov-16,132 min,7.2/10,74%,66/100,66,7.2,487019,tt3183660,234037575,74403387,4144,Medium,11,241.353,303.363,93519594.5,tt3183660
Zootopia,2016,PG,4-Mar-16,108 min,8.0/10,?,78/100,78,8,514126,tt2948356,341268248,75063401,3827,High,3,238.132,303.363,95625361.22,tt2948356
Star Trek,2009,PG-13,8-May-09,127 min,7.9/10,94%,82/100,82,7.9,609230,tt0796366,257730019,75204289,3849,High,5,213.856,303.363,106680190.1,tt0796366
Shang-Chi and the Legend of the Ten Rings,2021,PG-13,3-Sep-21,132 min,7.4/10,91%,71/100,71,7.4,397997,tt9376612,224543292,75388688,4300,Medium,9,274.31,303.363,83373331.48,tt9376612
Ant-Man and the Wasp,2018,PG-13,6-Jul-18,118 min,7.0/10,87%,70/100,70,7,421718,tt5095030,216648740,75812205,4206,Medium,7,252.006,303.363,91262184.02,tt5095030
Halloween,2018,R,19-Oct-18,106 min,6.5/10,79%,67/100,67,6.5,159941,tt1502407,159342015,76221545,3928,Medium,10,252.885,303.363,91436014.61,tt1502407
Avatar,2009,PG-13,18-Dec-09,162 min,7.9/10,82%,83/100,83,7.9,1338789,tt0499549,785221649,77025481,3452,High,12,215.949,303.363,108204627,tt0499549
The Da Vinci Code,2006,PG-13,19-May-06,149 min,6.6/10,25%,46/100,46,6.6,442859,tt0382625,217536138,77073388,3735,Low,5,202.5,303.363,115462786.2,tt0382625
Harry Potter and the Order of the Phoenix,2007,PG-13,11-Jul-07,138 min,7.5/10,78%,71/100,71,7.5,596810,tt0373889,292382727,77108414,4285,Medium,7,208.299,303.363,112299338,tt0373889
I Am Legend,2007,PG-13,14-Dec-07,101 min,7.2/10,68%,65/100,65,7.2,776538,tt0480249,256393010,77211321,3606,Medium,12,210.036,303.363,111519253.7,tt0480249
Harry Potter and the Half-Blood Prince,2009,PG,15-Jul-09,153 min,7.6/10,?,78/100,78,7.6,559924,tt0417741,302334374,77835727,4325,High,7,215.351,303.363,109646482.5,tt0417741
Oz the Great and Powerful,2013,PG,8-Mar-13,130 min,6.3/10,56%,44/100,44,6.3,210735,tt1623205,234911825,79110453,3912,Low,3,232.773,303.363,103101237.5,tt1623205
Star Wars: Episode II - Attack of the Clones,2002,PG,16-May-02,142 min,6.6/10,65%,54/100,54,6.6,726652,tt0121765,310676740,80027814,3161,Medium,5,179.8,303.363,135024904,tt0121765
Venom,2018,PG-13,5-Oct-18,112 min,6.6/10,30%,35/100,35,6.6,502394,tt1270797,213515506,80255756,4250,Low,10,252.885,303.363,96275488.49,tt1270797
Black Widow,2021,PG-13,9-Jul-21,134 min,6.7/10,79%,68/100,68,6.7,394207,tt3480822,183651655,80366312,4160,Medium,7,273.003,303.363,89303654.2,tt3480822
Monsters University,2013,G,21-Jun-13,104 min,7.2/10,80%,65/100,65,7.2,370055,tt1453405,268492764,82429469,4004,Medium,6,233.504,303.363,107090461,tt1453405
Despicable Me 2,2013,PG,3-Jul-13,98 min,7.3/10,?,62/100,62,7.3,409301,tt1690953,368065385,83517315,3997,Medium,7,233.596,303.363,108461032,tt1690953
The Passion of the Christ,2004,R,25-Feb-04,127 min,7.2/10,49%,47/100,47,7.2,235630,tt0335345,370782930,83848082,3043,Low,2,186.2,303.363,136607979.1,tt0335345
Solo: A Star Wars Story,2018,PG-13,25-May-18,135 min,6.9/10,69%,62/100,62,6.9,358873,tt3778644,213767512,84420489,4381,Medium,5,251.588,303.363,101793618.2,tt3778644
The Hobbit: An Unexpected Journey,2012,PG-13,14-Dec-12,169 min,7.8/10,64%,58/100,58,7.8,842144,tt0903624,303030651,84617303,4045,Medium,12,229.601,303.363,111801598.8,tt0903624
X-Men Origins: Wolverine,2009,PG-13,1-May-09,107 min,6.5/10,38%,40/100,40,6.5,514381,tt0458525,179883157,85058003,4099,Low,5,213.856,303.363,120658064.1,tt0458525
Doctor Strange,2016,PG-13,4-Nov-16,115 min,7.5/10,89%,72/100,72,7.5,762316,tt1211837,232641920,85058311,3882,Medium,11,241.353,303.363,106912051.6,tt1211837
Fifty Shades of Grey,2015,R,13-Feb-15,125 min,4.2/10,24%,46/100,46,4.2,325537,tt2322441,166167230,85171450,3646,Low,2,234.722,303.363,110078589.1,tt2322441
X2: X-Men United,2003,PG-13,2-May-03,134 min,7.4/10,?,68/100,68,7.4,559701,tt0290334,214949694,85558731,3741,Medium,5,183.5,303.363,141446067.1,tt0290334
Thor: The Dark World,2013,PG-13,8-Nov-13,112 min,6.8/10,66%,54/100,54,6.8,695072,tt1981115,206362140,85737841,3841,Medium,11,233.069,303.363,111596517.2,tt1981115
The Hangover Part II,2011,R,26-May-11,102 min,6.5/10,?,44/100,44,6.5,512677,tt1411697,254464305,85946294,3615,Low,5,225.964,303.363,115385307.3,tt1411697
Fast Five,2011,PG-13,29-Apr-11,130 min,7.3/10,78%,66/100,66,7.3,389134,tt1596343,209837675,86198765,3644,Medium,4,224.906,303.363,116268645.3,tt1596343
Spider-Man 2,2004,PG-13,30-Jun-04,127 min,7.4/10,93%,83/100,83,7.4,669818,tt0316654,373585825,88156227,4152,High,6,189.7,303.363,140977003.1,tt0316654
Harry Potter and the Chamber of Secrets,2002,PG,15-Nov-02,161 min,7.4/10,82%,63/100,63,7.4,654001,tt0295297,262641637,88357488,3682,Medium,11,181.3,303.363,147845519.2,tt0295297
Skyfall,2012,PG-13,9-Nov-12,143 min,7.8/10,92%,81/100,81,7.8,706702,tt1074638,304360277,88364714,3505,High,11,230.221,303.363,116438486.2,tt1074638
Logan,2017,R,3-Mar-17,137 min,8.1/10,94%,77/100,77,8.1,784194,tt3315342,226277068,88411916,4071,High,3,243.801,303.363,110011460.5,tt3315342
Venom: Let There Be Carnage,2021,PG-13,1-Oct-21,97 min,5.9/10,57%,49/100,49,5.9,235303,tt7097896,213550366,90033210,4225,Low,10,276.589,303.363,98748484.88,tt7097896
Pirates of the Caribbean: On Stranger Tides,2011,PG-13,20-May-11,136 min,6.6/10,33%,45/100,45,6.6,539786,tt1298650,241071802,90151958,4155,Low,5,225.964,303.363,121031529.1,tt1298650
Harry Potter and the Sorcerers Stone,2001,PG,16-Nov-01,152 min,7.6/10,81%,65/100,65,7.6,806183,tt0241527,318886962,90294621,3672,Medium,11,177.4,303.363,154408382.8,tt0241527
Inside Out,2015,PG,19-Jun-15,95 min,8.1/10,98%,94/100,94,8.1,733111,tt2096673,356921711,90440272,3946,High,6,238.638,303.363,114970089.6,tt2096673
X-Men: Days of Future Past,2014,PG-13,23-May-14,132 min,7.9/10,90%,75/100,75,7.9,722847,tt1877832,233921534,90823660,3996,Medium,5,237.9,303.363,115815628.3,tt1877832
It Chapter Two,2019,R,6-Sep-19,169 min,6.5/10,62%,58/100,58,6.5,278382,tt7349950,211622525,91062152,4570,Medium,9,256.759,303.363,107590727.6,tt7349950
Aladdin,2019,PG,24-May-19,128 min,6.9/10,57%,53/100,53,6.9,274348,tt6139732,355559216,91500929,4476,Medium,5,256.092,303.363,108390720.2,tt6139732
The Amazing Spider-Man 2,2014,PG-13,2-May-14,142 min,6.6/10,51%,53/100,53,6.6,510622,tt1872181,202853933,91608337,4324,Medium,5,237.9,303.363,116816225,tt1872181
The Matrix Reloaded,2003,R,15-May-03,138 min,7.2/10,73%,62/100,62,7.2,606961,tt0234215,281576461,91774413,3603,Medium,5,183.5,303.363,151721859.7,tt0234215
Spider-Man: Far from Home,2019,PG-13,2-Jul-19,129 min,7.4/10,90%,69/100,69,7.4,512109,tt6320628,390532085,92579212,4634,Medium,7,256.571,303.363,109463296.7,tt6320628
Godzilla,2014,PG-13,16-May-14,123 min,6.4/10,76%,62/100,62,6.4,421965,tt0831387,200676069,93188384,3952,Medium,5,237.9,303.363,118831054,tt0831387
Harry Potter and the Prisoner of Azkaban,2004,PG,4-Jun-04,142 min,7.9/10,90%,82/100,82,7.9,653059,tt0304141,250105651,93687367,3855,High,6,189.7,303.363,149822249.4,tt0304141
Justice League,2017,PG-13,17-Nov-17,120 min,6.1/10,39%,45/100,45,6.1,461729,tt0974015,229024295,93842239,4051,Low,11,246.669,303.363,115410785.9,tt0974015
Guardians of the Galaxy,2014,PG-13,1-Aug-14,121 min,8.0/10,92%,76/100,76,8,1202800,tt2015381,333718600,94320883,4080,High,8,237.852,303.363,120299455.2,tt2015381
Captain America: The Winter Soldier,2014,PG-13,4-Apr-14,136 min,7.8/10,90%,70/100,70,7.8,862976,tt1843866,259766572,95023721,3938,Medium,4,237.072,303.363,121594625.6,tt1843866
Joker,2019,R,4-Oct-19,122 min,8.4/10,69%,59/100,59,8.4,1341316,tt7286456,335477657,96202337,4374,Medium,10,257.346,303.363,113404636.4,tt7286456
Fast & Furious 6,2013,PG-13,24-May-13,130 min,7.0/10,?,61/100,61,7,401575,tt1905041,238679850,97375245,3658,Medium,5,232.945,303.363,126811249.2,tt1905041
Transformers: Dark of the Moon,2011,PG-13,29-Jun-11,154 min,6.2/10,35%,42/100,42,6.2,415816,tt1399103,352390543,97852865,4088,Low,6,225.722,303.363,131511056.5,tt1399103
Iron Man,2008,PG-13,2-May-08,126 min,7.9/10,94%,79/100,79,7.9,1078398,tt0371746,319034126,98618668,4105,High,5,216.632,303.363,138101734.6,tt0371746
The Fate of the Furious,2017,PG-13,14-Apr-17,136 min,6.6/10,67%,56/100,56,6.6,238942,tt4630562,226008385,98786705,4310,Medium,4,244.524,303.363,122557422.5,tt4630562
Transformers: Age of Extinction,2014,PG-13,27-Jun-14,165 min,5.6/10,17%,32/100,32,5.6,320071,tt2109248,245439076,100038390,4233,Low,6,238.343,303.363,127328875.2,tt2109248
Indiana Jones and the Kingdom of the Crystal Skull,2008,PG-13,22-May-08,122 min,6.2/10,77%,65/100,65,6.2,463938,tt0367882,317101119,100137835,4260,Medium,5,216.632,303.363,140229116.8,tt0367882
The Hunger Games: Mockingjay - Part 2,2015,PG-13,20-Nov-15,137 min,6.5/10,70%,65/100,65,6.5,340552,tt1951266,281723902,102665981,4175,Medium,11,237.336,303.363,131227710.9,tt1951266
Harry Potter and the Goblet of Fire,2005,PG-13,18-Nov-05,157 min,7.7/10,88%,81/100,81,7.7,644503,tt0330373,290469928,102685961,3858,High,11,197.6,303.363,157647374.4,tt0330373
X-Men: The Last Stand,2006,PG-13,26-May-06,104 min,6.6/10,57%,58/100,58,6.6,525780,tt0376994,234362462,102750665,3690,Medium,5,202.5,303.363,153929629.6,tt0376994
Wonder Woman,2017,PG-13,2-Jun-17,141 min,7.4/10,93%,76/100,76,7.4,672323,tt0451279,412845172,103251471,4165,High,6,244.955,303.363,127871143.7,tt0451279
The Jungle Book,2016,PG,15-Apr-16,106 min,7.4/10,94%,77/100,77,7.4,282639,tt3040964,364001123,103261464,4028,High,4,239.261,303.363,130926927.1,tt3040964
The Secret Life of Pets,2016,PG,8-Jul-16,87 min,6.5/10,71%,61/100,61,6.5,207856,tt2709768,368384330,104352905,4370,Medium,7,240.628,303.363,131559129.9,tt2709768
Shrek 2,2004,PG,19-May-04,93 min,7.3/10,?,75/100,75,7.3,479363,tt0298148,441226247,108037878,4163,Medium,5,189.1,303.363,173319380.1,tt0298148
Star Wars: Episode III - Revenge of the Sith,2005,PG-13,19-May-05,140 min,7.6/10,79%,68/100,68,7.6,808693,tt0121766,380270577,108435841,3661,Medium,5,194.4,303.363,169215133.9,tt0121766
Transformers: Revenge of the Fallen,2009,PG-13,24-Jun-09,149 min,5.9/10,20%,35/100,35,5.9,413765,tt1055369,402111870,108966307,4234,Low,6,215.693,303.363,153256460.8,tt1055369
Toy Story 3,2010,G,18-Jun-10,103 min,8.3/10,?,92/100,92,8.3,852161,tt0435761,415004880,110307189,4028,High,6,217.965,303.363,153525198,tt0435761
Pirates of the Caribbean: At Worlds End,2007,PG-13,25-May-07,169 min,7.1/10,44%,50/100,50,7.1,664349,tt0449088,309420425,114732820,4362,Low,5,207.949,303.363,167376099.3,tt0449088
Spider-Man,2002,PG-13,3-May-02,121 min,7.4/10,90%,73/100,73,7.4,835243,tt0145487,407022860,114844116,3615,Medium,5,179.8,303.363,193767828.5,tt0145487
Minions,2015,PG,10-Jul-15,91 min,6.4/10,55%,56/100,56,6.4,246232,tt2293640,336045770,115718405,4301,Medium,7,238.654,303.363,147094465.2,tt2293640
Alice in Wonderland,2010,PG,5-Mar-10,108 min,6.4/10,51%,53/100,53,6.4,423113,tt1014759,334191110,116101023,3728,Medium,3,217.631,303.363,161837029.8,tt1014759
Man of Steel,2013,PG-13,14-Jun-13,143 min,7.1/10,56%,55/100,55,7.1,784399,tt0770828,291045518,116619362,4207,Medium,6,233.504,303.363,151509179.8,tt0770828
Spider-Man: Homecoming,2017,PG-13,7-Jul-17,133 min,7.4/10,92%,73/100,73,7.4,676321,tt2250912,334201140,117027503,4348,Medium,7,244.786,303.363,145032045.9,tt2250912
Toy Story 4,2019,G,21-Jun-19,100 min,7.7/10,97%,84/100,84,7.7,260486,tt1979376,434038008,120908065,4575,High,6,256.143,303.363,143197484.7,tt1979376
Shrek the Third,2007,PG,18-May-07,93 min,6.1/10,41%,58/100,58,6.1,317605,tt0413267,322719944,121629270,4122,Medium,5,207.949,303.363,177436872.7,tt0413267
The Hunger Games: Mockingjay - Part 1,2014,PG-13,21-Nov-14,123 min,6.6/10,69%,64/100,64,6.6,469977,tt1951265,337135885,121897634,4151,Medium,11,236.151,303.363,156591468.8,tt1951265
Thor: Ragnarok,2017,PG-13,3-Nov-17,130 min,7.9/10,93%,74/100,74,7.9,771884,tt3501632,315058289,122744989,4080,Medium,11,246.669,303.363,150956496.8,tt3501632
It,2017,R,8-Sep-17,135 min,7.3/10,86%,69/100,69,7.3,567017,tt1396484,328874981,123403419,4103,Medium,9,246.819,303.363,151674025.9,tt1396484
Harry Potter and the Deathly Hallows: Part 1,2010,PG-13,19-Nov-10,146 min,7.7/10,?,65/100,65,7.7,565728,tt0926084,296374621,125017372,4125,Medium,11,218.803,303.363,173332381.3,tt0926084
Deadpool 2,2018,R,18-May-18,119 min,7.6/10,84%,66/100,66,7.6,601772,tt5463162,324591735,125507153,4349,Medium,5,251.588,303.363,151335622,tt5463162
Iron Man 2,2010,PG-13,7-May-10,124 min,6.9/10,71%,57/100,57,6.9,831303,tt1228705,312433331,128122480,4380,Medium,5,218.178,303.363,178146375.4,tt1228705
Frozen II,2019,PG,22-Nov-19,103 min,6.8/10,77%,64/100,64,6.8,180349,tt4520988,477373578,130263358,4440,Medium,11,257.208,303.363,153638623.5,tt4520988
Deadpool,2016,R,12-Feb-16,108 min,8.0/10,85%,65/100,65,8,1063020,tt1431045,363070709,132434639,3558,Medium,2,237.111,303.363,169438657,tt1431045
Suicide Squad,2016,PG-13,5-Aug-16,123 min,5.9/10,26%,40/100,40,5.9,696980,tt1386697,325100054,133682248,4255,Low,8,240.849,303.363,168380386.9,tt1386697
Finding Dory,2016,PG,17-Jun-16,97 min,7.3/10,94%,77/100,77,7.3,285569,tt2277860,486295561,135060273,4305,High,6,241.018,303.363,169996803.6,tt2277860
Pirates of the Caribbean: Dead Mans Chest,2006,PG-13,7-Jul-06,151 min,7.3/10,53%,53/100,53,7.3,733585,tt0383574,423315812,135634554,4133,Medium,7,203.5,303.363,202194128.8,tt0383574
The Twilight Saga: Breaking Dawn - Part 1,2011,PG-13,18-Nov-11,117 min,4.9/10,25%,45/100,45,4.9,245690,tt1324999,281287133,138122261,4061,Low,11,226.23,303.363,185214973.5,tt1324999
The Twilight Saga: Breaking Dawn - Part 2,2012,PG-13,16-Nov-12,115 min,5.5/10,49%,52/100,52,5.5,254037,tt1673434,292324737,141067634,4070,Medium,11,230.221,303.363,185885304.4,tt1673434
The Twilight Saga: New Moon,2009,PG-13,20-Nov-09,130 min,4.7/10,29%,44/100,44,4.7,290082,tt1259571,297816253,142839137,4024,Low,11,216.33,303.363,200305593.9,tt1259571
Guardians of the Galaxy Vol. 2,2017,PG-13,5-May-17,136 min,7.6/10,85%,67/100,67,7.6,699402,tt3896198,389813101,146510104,4347,Medium,5,244.733,303.363,181609119.7,tt3896198
Furious 7,2015,PG-13,3-Apr-15,137 min,7.1/10,81%,67/100,67,7.1,397653,tt2820852,353007020,147187040,4004,Medium,4,236.599,303.363,188720586.4,tt2820852
Jurassic World: Fallen Kingdom,2018,PG-13,22-Jun-18,128 min,6.1/10,47%,51/100,51,6.1,326132,tt4881806,417719760,148024610,4475,Medium,6,251.989,303.363,178202976.2,tt4881806
Spider-Man 3,2007,PG-13,4-May-07,139 min,6.3/10,63%,59/100,59,6.3,605236,tt0413300,336530303,151116516,4252,Medium,5,207.949,303.363,220453859.6,tt0413300
The Hunger Games,2012,PG-13,23-Mar-12,142 min,7.2/10,84%,68/100,68,7.2,944016,tt1392170,408010692,152535747,4137,Medium,3,229.392,303.363,201723259,tt1392170
Captain Marvel,2019,PG-13,8-Mar-19,123 min,6.8/10,79%,64/100,64,6.8,576344,tt4154664,426829839,153433423,4310,Medium,3,254.202,303.363,183106440.9,tt4154664
Rogue One: A Star Wars Story,2016,PG-13,16-Dec-16,133 min,7.8/10,84%,65/100,65,7.8,655429,tt3748528,533539991,155081681,4157,Medium,12,241.432,303.363,194862503.7,tt3748528
The Hunger Games: Catching Fire,2013,PG-13,22-Nov-13,146 min,7.5/10,90%,76/100,76,7.5,681592,tt1951264,424668047,158074286,4163,High,11,233.069,303.363,205749754.9,tt1951264
The Dark Knight,2008,PG-13,18-Jul-08,152 min,9.0/10,94%,84/100,84,9,2707874,tt0468569,534987076,158411483,4366,High,7,219.964,303.363,218472944.3,tt0468569
The Dark Knight Rises,2012,PG-13,20-Jul-12,164 min,8.4/10,87%,78/100,78,8.4,1733836,tt1345836,448149584,160887295,4404,High,7,229.104,303.363,213035357.2,tt1345836
Batman v Superman: Dawn of Justice,2016,PG-13,25-Mar-16,151 min,6.4/10,29%,44/100,44,6.4,710667,tt2975590,330360194,166007347,4242,Low,3,238.132,303.363,211481391.9,tt2975590
Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,15-Jul-11,130 min,8.1/10,96%,85/100,85,8.1,897089,tt1201607,381447587,169189427,4375,High,7,225.922,303.363,227183772,tt1201607
Iron Man 3,2013,PG-13,3-May-13,130 min,7.1/10,79%,62/100,62,7.1,866350,tt1300854,409013994,174144585,4253,Medium,5,232.945,303.363,226787541,tt1300854
Beauty and the Beast,2017,PG,17-Mar-17,129 min,7.1/10,71%,65/100,65,7.1,317458,tt2771200,504481165,174750616,4210,Medium,3,243.801,303.363,217443206.2,tt2771200
Star Wars: Episode IX - The Rise of Skywalker,2019,PG-13,20-Dec-19,141 min,6.5/10,52%,53/100,53,6.5,464677,tt2527338,515202542,177383864,4406,Medium,12,256.974,303.363,209405236.1,tt2527338
Captain America: Civil War,2016,PG-13,6-May-16,147 min,7.8/10,?,75/100,75,7.8,807929,tt3498820,408084349,179139142,4226,Medium,5,240.229,303.363,226218264.8,tt3498820
Incredibles 2,2018,PG,15-Jun-18,118 min,7.6/10,93%,80/100,80,7.6,307831,tt3606756,608581744,182687905,4410,High,6,251.989,303.363,219933215,tt3606756
Avengers: Age of Ultron,2015,PG-13,1-May-15,141 min,7.3/10,76%,66/100,66,7.3,880921,tt2395427,459005868,191271109,4276,Medium,5,237.805,303.363,244000662.1,tt2395427
The Lion King,2019,PG,19-Jul-19,118 min,6.8/10,52%,55/100,55,6.8,252756,tt6105098,543638043,191770759,4725,Medium,7,256.571,303.363,226744849.4,tt6105098
Black Panther,2018,PG-13,16-Feb-18,134 min,7.3/10,96%,88/100,88,7.3,798824,tt1825683,700426566,202003951,4020,High,2,248.991,303.363,246115420.2,tt1825683
The Avengers,2012,PG-13,4-May-12,143 min,8.0/10,91%,69/100,69,8,1411647,tt0848228,623357910,207438708,4349,Medium,5,229.815,303.363,273825593.5,tt0848228
Jurassic World,2015,PG-13,12-Jun-15,124 min,6.9/10,71%,59/100,59,6.9,655241,tt0369610,653406625,208806270,4274,Medium,6,238.638,303.363,265440108,tt0369610
Star Wars: Episode VIII - The Last Jedi,2017,PG-13,15-Dec-17,152 min,6.9/10,91%,84/100,84,6.9,645183,tt2527336,620181382,220009584,4232,High,12,246.524,303.363,270735374.4,tt2527336
Star Wars: Episode VII - The Force Awakens,2015,PG-13,18-Dec-15,138 min,7.8/10,?,80/100,80,7.8,945099,tt2488496,936662225,247966675,4134,High,12,236.525,303.363,318037900.6,tt2488496
Avengers: Infinity War,2018,PG-13,27-Apr-18,149 min,8.4/10,85%,68/100,68,8.4,1116082,tt4154756,678815482,257698183,4474,Medium,4,250.546,303.363,312022917.5,tt4154756
Spider-Man: No Way Home,2021,PG-13,17-Dec-21,148 min,8.2/10,93%,71/100,71,8.2,790170,tt10872600,814115070,260138569,4336,Medium,12,278.802,303.363,283055418.2,tt10872600
Avengers: Endgame,2019,PG-13,26-Apr-19,181 min,8.4/10,94%,78/100,78,8.4,1172062,tt4154796,858373000,357115007,4662,High,4,255.548,303.363,423933976.7,tt4154796
Lincoln,2012,PG-13,16-Nov-12,150 min,7.3/10,89%,87/100,87,7.3,"265,009",tt0443272,"$182,207,973 ",944308,11,,11,230.221,303.363,1244317.885,tt0443272
La La Land,2016,PG-13,25-Dec-16,128 min,8.0/10,91%,94/100,94,8,"612,626",tt3783958,"$151,101,803 ",881104,5,,12,241.432,303.363,1107120.65,tt3783958
American Beauty,1999,R,1-Oct-99,122 min,8.3/10,87%,84/100,84,8.3,"1,171,234",tt0169547,"$130,096,601 ",861531,16,,10,168.2,303.363,1553844.404,tt0169547
The Aviator,2004,PG-13,25-Dec-04,170 min,7.5/10,86%,77/100,77,7.5,"370,059",tt0338751,"$102,610,330 ",858021,40,,12,190.3,303.363,1367797.292,tt0338751
The Princess and the Frog,2009,G,11-Dec-09,97 min,7.1/10,85%,73/100,73,7.1,"153,182",tt0780521,"$104,400,899 ",786190,2,,12,215.949,303.363,1104431.866,tt0780521
American Hustle,2013,R,20-Dec-13,138 min,7.2/10,92%,90/100,90,7.2,"487,734",tt1800241,"$150,117,807 ",740455,6,,12,233.049,303.363,963860.176,tt1800241
Crouching Tiger^ Hidden Dragon,2000,PG-13,12-Jan-01,120 min,7.9/10,98%,94/100,94,7.9,"275,137",tt0190332,"$128,530,109 ",663205,16,,1,168.8,303.363,1191894.896,tt0190332
Schindlers List,1993,R,4-Feb-94,195 min,9.0/10,98%,95/100,95,9,"1,380,424",tt0108052,"$96,898,818 ",656636,25,,2,143.1,303.363,1392027.022,tt0108052
Mystic River,2003,R,15-Oct-03,138 min,7.9/10,88%,84/100,84,7.9,"466,536",tt0327056,"$90,135,191 ",640815,13,,10,185,303.363,1050808.437,tt0327056
American Sniper,2014,R,16-Jan-15,133 min,7.3/10,72%,72/100,72,7.3,"500,120",tt2179136,"$350,159,020 ",633456,4,,1,233.916,303.363,821521.8819,tt2179136
Die Hard,1988,R,20-Jul-88,132 min,8.2/10,94%,72/100,72,8.2,"899,232",tt0095016,"$83,844,093 ",601851,21,,7,118.5,303.363,1540753.797,tt0095016
Dances with Wolves,1990,PG-13,21-Nov-90,181 min,8.0/10,87%,72/100,72,8,"274,142",tt0099348,"$184,208,848 ",598257,14,,11,133.8,303.363,1356420.316,tt0099348
My Big Fat Greek Wedding,2002,PG,2-Aug-02,95 min,6.6/10,76%,62/100,62,6.6,"136,138",tt0259446,"$241,438,208 ",597362,108,,8,180.7,303.363,1002864.02,tt0259446
1917,2019,R,10-Jan-20,119 min,8.2/10,88%,78/100,78,8.2,"616,801",tt8579674,"$159,227,644 ",576216,11,,1,251.712,303.363,694454.8309,tt8579674
Brokeback Mountain,2005,R,13-Jan-06,134 min,7.7/10,88%,87/100,87,7.7,"366,225",tt0388795,"$83,043,761 ",547425,5,,1,190.7,303.363,870836.3412,tt0388795
The Post,2017,PG-13,12-Jan-18,116 min,7.2/10,88%,83/100,83,7.2,"155,293",tt6294822,"$81,903,458 ",526011,9,,1,242.839,303.363,657111.3989,tt6294822
Hidden Figures,2016,PG,6-Jan-17,127 min,7.8/10,93%,74/100,74,7.8,"238,424",tt4846340,"$169,607,287 ",515499,25,,1,236.916,303.363,660079.1974,tt4846340
Annie,1982,PG,18-Jun-82,127 min,6.6/10,49%,39/100,39,6.6,"47,238",tt0083564,"$57,059,003 ",510632,14,,6,97,303.363,1596977.891,tt0083564
The Imitation Game,2014,PG-13,25-Dec-14,114 min,8.0/10,90%,71/100,71,8,"786,752",tt2084970,"$91,125,683 ",479352,4,,12,234.812,303.363,619293.9917,tt2084970
The Revenant,2015,R,8-Jan-16,156 min,8.0/10,78%,76/100,76,8,"824,265",tt1663202,"$183,637,894 ",474560,4,,1,233.707,303.363,616001.8539,tt1663202
Silver Linings Playbook,2012,R,25-Dec-12,122 min,7.7/10,92%,81/100,81,7.7,"720,283",tt1045658,"$132,092,958 ",443003,16,,12,229.601,303.363,585322.8823,tt1045658
Zero Dark Thirty,2012,R,11-Jan-13,157 min,7.4/10,?,95/100,95,7.4,"308,218",tt1790885,"$95,720,716 ",417150,5,,1,226.665,303.363,558303.5557,tt1790885
Juno,2007,PG-13,25-Dec-07,96 min,7.5/10,94%,81/100,81,7.5,"530,343",tt0467406,"$143,495,265 ",413869,7,,12,210.036,303.363,597766.7707,tt0467406
Saving Mr. Banks,2013,PG-13,20-Dec-13,125 min,7.5/10,79%,65/100,65,7.5,"165,438",tt2140373,"$83,301,580 ",413373,15,,12,233.049,303.363,538093.1624,tt2140373
Dreamgirls,2006,PG-13,25-Dec-06,130 min,6.6/10,79%,76/100,76,6.6,"75,231",tt0443489,"$103,365,956 ",378950,3,,12,201.8,303.363,569670.0141,tt0443489
A Beautiful Mind,2001,PG-13,4-Jan-02,135 min,8.2/10,74%,72/100,72,8.2,"945,558",tt0268978,"$170,742,341 ",367151,11,,1,175.1,303.363,636093.8253,tt0268978
Slumdog Millionaire,2008,R,25-Dec-08,120 min,8.0/10,91%,84/100,84,8,"857,412",tt1010048,"$141,319,928 ",360018,10,,12,210.228,303.363,519512.8172,tt1010048
